,name,song_id_x,song_name,genre,feature_id,danceability,energy,key_,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,number_sections,avg_duration,std_duration,std_loudness,std_tempo,number_keys
0,Fleetwood Mac,00Fboe8pNoWHLg1nn3e7Oi,Sands of Time - Single; 2018 Remaster,"album rock, classic rock, mellow gold, rock, soft rock, yacht rock",00Fboe8pNoWHLg1nn3e7Oi183253,0.614,0.668,7.0,-11.31,1.0,0.0268,0.105,0.116,0.109,0.873,137.003,183253.0,4.0,10,18.325331,10.549400922216126,4.745335212372018,0.48100405403697827,4.0
1,Fleetwood Mac,01Ad3YljWv9gfMVYpn6cL7,That's Alright - 2016 Remaster,"album rock, classic rock, mellow gold, rock, soft rock, yacht rock",01Ad3YljWv9gfMVYpn6cL7190378,0.543,0.537,9.0,-8.884,1.0,0.0239,0.0582,2.2e-05,0.11,0.68,147.518,190378.0,4.0,9,21.153087777777777,6.650617766726219,1.4323644884517968,0.42412471960234677,4.0
2,The Rolling Stones,01fNwidwuko3gFvAhHKrZ6,All The Way Down - Remastered,"album rock, british invasion, classic rock, protopunk, rock",01fNwidwuko3gFvAhHKrZ6193333,0.572,0.949,4.0,-4.83,1.0,0.0801,0.21,0.776,0.398,0.806,142.84,193333.0,4.0,11,17.575763636363636,9.216473977207631,7.804578822716829,0.8464457561957615,2.0
3,The Rolling Stones,01JYvQ6udfhUw9Jed9EzoK,Bitch - Remastered,"album rock, british invasion, classic rock, protopunk, rock",01JYvQ6udfhUw9Jed9EzoK217093,0.655,0.972,7.0,-3.502,1.0,0.0362,0.257,0.297,0.165,0.973,135.922,217093.0,4.0,11,19.735754545454544,7.109980479208594,5.758186944769081,0.4865050873320877,4.0
4,Kendrick Lamar,01kYL8egWVVF09irxev3dh,The Recipe - Bonus Track,"conscious hip hop, hip hop, rap, west coast rap",01kYL8egWVVF09irxev3dh352853,0.759,0.782,11.0,-6.975,0.0,0.0741,0.000589,0.0,0.35,0.507,131.04,352853.0,4.0,11,32.077572727272724,26.464533287684517,10.62067837244444,0.5226851824951668,5.0
5,Bruce Springsteen,01tBpn6TR9LTG1xbwnXUOC,Where The Bands Are - Studio Outtake - 1979,"heartland rock, mellow gold, permanent wave, rock, singer-songwriter",01tBpn6TR9LTG1xbwnXUOC223307,0.342,0.99,2.0,-3.365,1.0,0.156,0.00573,1.63e-06,0.339,0.518,140.842,223307.0,4.0,10,22.330673,13.672869839981209,1.1292637916408685,1.7083238211117338,3.0
6,Fleetwood Mac,01VtifRjNkyUZbxdPwwQTb,Stop Messin' Round - Take 4-Master with Studio Talk Remix,"album rock, classic rock, mellow gold, rock, soft rock, yacht rock",01VtifRjNkyUZbxdPwwQTb155973,0.497,0.494,5.0,-8.963,1.0,0.0423,0.28,0.0,0.149,0.531,63.757,155973.0,4.0,4,38.993342500000004,38.446370255138845,16.054987906151368,31.758131504650375,2.0
7,Fleetwood Mac,021JldNpXGATNSC69edcBT,Future Games,"album rock, classic rock, mellow gold, rock, soft rock, yacht rock",021JldNpXGATNSC69edcBT499116,0.4,0.475,11.0,-11.462,0.0,0.0309,0.376,0.736,0.142,0.0754,141.35,499116.0,4.0,13,38.393546153846145,28.14864828248464,7.147483241834688,1.636541925634346,6.0
8,Fleetwood Mac,02jrZxFA2nMEweoUc5UvX3,Family Man - 2017 Remaster,"album rock, classic rock, mellow gold, rock, soft rock, yacht rock",02jrZxFA2nMEweoUc5UvX3247133,0.778,0.669,7.0,-9.735,1.0,0.0367,0.0354,0.0132,0.0973,0.834,123.543,247133.0,4.0,10,24.71334,16.05106505204215,7.6483693076803405,0.20753540527930123,4.0
9,Kanye West,02LAK7qT1wya0klSeNO96f,RoboCop,"chicago rap, rap",02LAK7qT1wya0klSeNO96f274360,0.698,0.447,5.0,-8.04,0.0,0.102,0.157,0.00564,0.405,0.407,133.776,274360.0,4.0,13,21.10460769230769,9.943171881955102,2.1280658487016466,0.48713636010189887,2.0
10,Red Hot Chili Peppers,02lWbJ8NQ7IZGuNGfG34tE,Bicycle Song - 2006 Remaster,"alternative rock, funk metal, funk rock, permanent wave, post-grunge, rock",02lWbJ8NQ7IZGuNGfG34tE203533,0.685,0.787,4.0,-4.402,0.0,0.0398,0.2,0.0,0.328,0.652,89.659,203533.0,4.0,9,22.614822222222227,11.98239954942016,0.9756916777343136,0.7281136587099567,4.0
11,JAY-Z,02v6roMQ0vd5316rukoUeh,The Bounce,"east coast hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop",02v6roMQ0vd5316rukoUeh257733,0.728,0.697,1.0,-5.278,1.0,0.332,0.442,0.0,0.0797,0.622,95.92,257733.0,4.0,11,23.43030545454545,11.323870286975529,5.123268523475651,1.0360243328135759,3.0
12,The Rolling Stones,02Y7UtZLh7SbhYsYG5N7Rr,Worried About You - Remastered,"album rock, british invasion, classic rock, protopunk, rock",02Y7UtZLh7SbhYsYG5N7Rr317560,0.428,0.636,0.0,-6.891,1.0,0.033,0.105,0.000923,0.0865,0.374,85.121,317560.0,4.0,9,35.28445,27.825455582366484,12.734187861815139,2.948309685226436,2.0
13,Fleetwood Mac,03h0xXtdHey0y1oijFxyz7,When the Sun Goes Down,"album rock, classic rock, mellow gold, rock, soft rock, yacht rock",03h0xXtdHey0y1oijFxyz7198560,0.531,0.671,9.0,-11.758,1.0,0.0447,0.376,0.0,0.114,0.93,98.054,198560.0,4.0,10,19.855997,15.872221500427198,5.686282362942514,0.6148528369545901,5.0
14,JAY-Z,03QlwMUdrHSxj5P5vZ0A4T,It's Hot (Some Like It Hot),"east coast hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop",03QlwMUdrHSxj5P5vZ0A4T255467,0.765,0.864,11.0,-5.593,0.0,0.505,0.369,0.0,0.239,0.677,81.68,255467.0,4.0,9,28.385181111111116,22.740646392901,7.31829444687156,0.40533689691415525,4.0
15,JAY-Z,03UGZcl5rbmGgZktXbHnmc,Excuse Me Miss,"east coast hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop",03UGZcl5rbmGgZktXbHnmc281240,0.714,0.863,1.0,-5.496,1.0,0.292,0.0307,0.0,0.0949,0.877,92.897,281240.0,4.0,11,25.567269090909097,14.448610961615277,3.3376109801091935,0.5323795809211883,5.0
16,The Rolling Stones,03zVignBAdwH14qxChAY0x,It Won't Take Long,"album rock, british invasion, classic rock, protopunk, rock",03zVignBAdwH14qxChAY0x234960,0.48,0.927,7.0,-3.58,1.0,0.0667,0.0172,3.05e-05,0.272,0.607,117.38,234960.0,4.0,12,19.58001416666667,9.913768281254525,11.04153003609005,0.9907224942465267,5.0
17,Red Hot Chili Peppers,04gJ8tbd8psGJDZVxneeJp,Knock Me Down,"alternative rock, funk metal, funk rock, permanent wave, post-grunge, rock",04gJ8tbd8psGJDZVxneeJp284053,0.465,0.972,11.0,-4.157,0.0,0.108,0.000464,1.54e-05,0.115,0.27,124.339,284053.0,4.0,13,21.850266153846153,9.806211094771806,2.3417521053853934,1.3104360352814284,8.0
18,The Rolling Stones,05BcisbhFsmVpTZ0kGD7gK,Loving Cup,"album rock, british invasion, classic rock, protopunk, rock",05BcisbhFsmVpTZ0kGD7gK264267,0.471,0.843,7.0,-5.702,1.0,0.041,0.636,0.0402,0.773,0.632,156.695,264267.0,4.0,13,20.328189230769226,13.137097510596638,5.940760515287583,2.0385454373155554,3.0
19,Bruce Springsteen,05eKAYwnkIOJIwcZSJSzRs,Chasin' Wild Horses - Film Version,"heartland rock, mellow gold, permanent wave, rock, singer-songwriter",05eKAYwnkIOJIwcZSJSzRs346720,0.368,0.198,2.0,-12.912,1.0,0.0333,0.597,0.000115,0.7,0.169,110.726,346720.0,4.0,12,28.893335833333335,21.256242470140585,7.272772652888721,11.544507838900032,4.0
20,JAY-Z,05Iawel3maRW3mSHYmXxMZ,Can't Knock The Hustle,"east coast hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop",05Iawel3maRW3mSHYmXxMZ317800,0.78,0.378,7.0,-11.481,1.0,0.464,0.197,0.0,0.0782,0.579,94.895,317800.0,4.0,11,28.890902727272728,16.227488981283635,9.797559255428688,1.5066615654244515,5.0
21,Red Hot Chili Peppers,05icsRv9AUQHO7GaJszvDx,"Dance, Dance, Dance","alternative rock, funk metal, funk rock, permanent wave, post-grunge, rock",05icsRv9AUQHO7GaJszvDx225533,0.59,0.881,2.0,-5.167,1.0,0.0393,0.00382,1.65e-05,0.0861,0.652,118.023,225533.0,4.0,7,32.21904857142857,22.613936628391667,8.479526497337433,3.231748273730782,3.0
22,Fleetwood Mac,05oETzWbd4SI33qK2gbJfR,Rhiannon,"album rock, classic rock, mellow gold, rock, soft rock, yacht rock",05oETzWbd4SI33qK2gbJfR252773,0.723,0.49,9.0,-14.745,0.0,0.0296,0.111,0.0946,0.0923,0.795,129.012,252773.0,4.0,12,21.06445833333333,10.530171529075034,8.812541311315163,0.9239280889963076,2.0
23,Bruce Springsteen,05rizAAJYYh9y2SnAIoCPZ,Hello Sunshine - Film Version,"heartland rock, mellow gold, permanent wave, rock, singer-songwriter",05rizAAJYYh9y2SnAIoCPZ262027,0.379,0.45,2.0,-12.33,1.0,0.0315,0.137,0.0573,0.689,0.391,123.439,262027.0,4.0,14,18.71618714285714,8.182717806432914,5.221435235410127,1.5766337784750755,3.0
